Area,Bathroom,Price
675,2,2400000
1700,3,11500000
550,2,3600000
387,2,1700000
450,1,2500000
900,2,6600000
500,1,3700000
441,1,3500000
800,2,5400000
450,2,2550000
1000,3,12500000
715,2,5600000
600,2,7000000
540,1,3500000
312,4,35000000
810,2,9000000
270,1,2300000
900,2,6000000
1000,2,6000000
540,2,2650000
950,2,4370000
1000,2,4620000
540,2,3000000
540,2,3300000
1000,2,5510000
500,2,3200000
540,2,2600000
780,2,4000000
450,1,1850000
360,1,1700000
900,2,2800000
495,2,2150000
1200,3,6800000
1000,2,6200000
620,2,3100000
680,2,3400000
805,2,4000000
729,2,4800000
540,2,2500000
360,1,2000000
550,2,1900000
1001,2,5800000
450,2,2900000
550,1,2000000
550,2,2600000
675,1,2900000
585,2,3200000
810,2,5400000
765,2,3800000
4688,4,135000000
3901,4,93000000
70,3,8200000
800,2,8000000
900,2,9500000
1680,5,20000000
900,2,7400000
2000,3,37500000
2000,4,15000000
1900,3,55300000
1530,3,26500000
100,2,16000000
900,2,10400000
270,1,1700000
950,2,8000000
1800,3,27000000
1500,3,19500000
1800,3,50000000
1800,3,21100000
2306,3,57000000
850,3,5900000
140,2,12000000
900,2,12000000
1800,3,24000000
200,1,7000000
1782,3,15000000
900,2,1500000
405,1,3950000
1500,3,12500000
66,1,1600000
2000,4,36500000
1200,2,20000000
1100,2,15000000
1400,2,25000000
1600,2,18500000
1600,3,23500000
600,1,8000000
1600,2,23000000
2000,3,31000000
650,2,7400000
1100,2,15500000
1075,2,12000000
1450,2,23500000
1200,2,25000000
600,2,7000000
1000,2,17500000
1600,2,25000000
1750,4,29000000
1300,3,21900000
550,2,7500000
2200,3,23500000
1100,2,24000000
1700,2,31000000
1100,2,16500000
1000,2,5000000
1350,2,24000000
1184,2,17000000
2000,2,40000000
3500,4,22500000
900,3,20000000
4688,4,135000000
750,2,5000000
3901,4,93000000
950,2,4370000
1000,2,4620000
850,1,1900000
2400,4,70000000
1350,2,5130000
540,2,3000000
1387,4,5890000
540,2,3300000
976,2,24900000
1050,2,3700000
2700,3,60000000
1500,2,17400000
2900,5,51000000
5025,6,170000000
1000,2,5510000
1135,3,25000000
2306,3,57000000
850,2,2940000
1200,3,15500000
1700,2,17200000
1800,3,55000000
1100,2,15000000
22050,4,51000000
1550,3,13000000
1600,3,30000000
700,2,2400000
45,3,5500000
450,2,2900000
540,2,17000000
1350,3,25000000
2250,2,10000000
1250,1,7500000
504,1,3600000
65,2,35000000
450,1,6000000
1800,2,17500000
1800,3,35000000
1530,2,10200000
1750,4,29000000
2210,3,41000000
760,2,6000000
400,1,2500000
380,1,2200000
904.1676,2,21500000
900,1,15000000
810,6,28900000
100,2,5500000
50,1,1950000
58,1,3800000
900,1,6200000
1650,3,14000000
1000,2,7500000
852,2,2670000
700,2,2500000
990,2,4000000
450,1,3500000
1000,2,5000000
1700,3,29500000
1350,2,19000000
2100,3,25500000
2600,4,75000000
3000,5,75000000
1450,3,34000000
2050,4,47500000
3000,5,75000000
1800,3,23000000
900,2,24000000
1500,2,21500000
1500,2,28500000
1800,4,12500000
1674,3,45000000
2025,3,30500000
1300,3,22500000
990,3,28000000
2100,4,25000000
2250,4,33700000
1500,3,27000000
2700,4,43500000
1700,3,29000000
1700,3,30000000
2050,4,52100000
1800,3,32500000
1500,2,20500000
2000,3,25000000
1500,3,30000000
24300,5,51000000
2475,4,31000000
1800,3,37500000
1300,3,32500000
1500,3,37500000
2100,4,55000000
1800,4,87500000
1100,2,16300000
2035,4,65000000
1100,3,25000000
1550,3,38000000
700,2,15000000
150,1,2000000
540,1,3000000
810,2,8500000
3250,4,55000000
1600,3,22500000
4000,4,72500000
5500,7,160000000
900,3,12500000
972,2,17000000
4150,4,82500000
2250,5,55000000
1650,3,35000000
2610,4,42500000
600,2,4700000
1700,5,52500000
2250,4,80000000
880,2,11000000
4200,5,74000000
1450,3,37500000
2200,4,52500000
1620,3,26000000
1078,2,15500000
1710,3,22000000
1150,3,21000000
450,2,5000000
1818,3,22000000
1800,2,26500000
780,2,8770000
405,1,4500000
900,3,8500000
807.2925,2,8600000
2700,3,42500000
1100,2,13100000
585,2,7000000
2152.78,3,30000000
960,2,13000000
1800,3,23100000
1100,2,16000000
900,2,12500000
1620,3,24500000
378,1,3200000
800,2,6300000
1350,3,15000000
850,3,5700000
